Search Keyword,Driving Distance,Travel Time, Latitude,Longitude,Actual Address,Place_name,Google review rating out of 5,No of Ratings,Phone No,Website,Google Map link
Psychiatric hospital,29.27 Miles,33 mins,26.2031833,-80.1852025,"Fort Lauderdale Psychiatric 2901 W Cypress Creek Rd, Fort Lauderdale, FL 33309, USA",Fort Lauderdale Psychiatric,Not available,0,(954) 491-9801,Not available,https://maps.google.com/?cid=10876519701913396153
Psychiatric hospital,27.96 Miles,31 mins,26.197715,-80.133164,"Fort Lauderdale Behavioral Health Center 5757 N Dixie Hwy, Oakland Park, FL 33334, USA",Fort Lauderdale Behavioral Health Center,2.6,5,(954) 734-2000,https://ftlauderdalebehavioral.com/,https://maps.google.com/?cid=12919126649227846187
Psychiatric hospital,17.96 Miles,23 mins,26.7541061,-80.0668826,"Jerome Golden Center 1041 45th St, West Palm Beach, FL 33407, USA",Jerome Golden Center,3.3,3,(561) 383-8000,Not available,https://maps.google.com/?cid=5603736359585643498
Psychiatric hospital,18.45 Miles,25 mins,26.341267,-80.0901478,"Valentine & Associates 118 W Camino Real, Boca Raton, FL 33432, USA",Valentine & Associates,5,3,(561) 391-3305,http://drsallyvalentine.com/,https://maps.google.com/?cid=17578788315468033074
Psychiatric hospital,32.93 Miles,36 mins,26.2727053,-80.2837775,"Center For Psychological 11768 W Sample Rd, Coral Springs, FL 33065, USA",Center For Psychological,5,1,(954) 345-5644,http://www.psychwell.com/,https://maps.google.com/?cid=8247664991305960372
Psychiatric hospital,36.41 Miles,48 mins,26.1675626,-80.2700748,"Palmwood Center for Psychological Services P.A. 8890 W Oakland Park Blvd, Sunrise, FL 33351, USA",Palmwood Center for Psychological Services P.A.,3,2,(954) 742-7032,http://palmwoodcenter.com/,https://maps.google.com/?cid=4813288221870104144
Psychiatric hospital,19.88 Miles,25 mins,26.3216012,-80.1367165,"Business Humor 2430 DC Country Club Boulevard, Deerfield Beach, FL 33442, USA",Business Humor,Not available,0,(954) 725-0750,http://www.businesshumorsolutions.com/,https://maps.google.com/?cid=11422733448509816584
Psychiatric hospital,10.5 Miles,17 mins,26.6508045,-80.0971002,"Zenith Psychological services 3600 FL-882, Palm Springs, FL 33406, USA",Zenith Psychological services,3,2,(786) 230-6591,Not available,https://maps.google.com/?cid=3534139005908669922
Psychiatric hospital,31.19 Miles,41 mins,26.2520707,-80.2524088,"Linda Berlin Psy.D. & Psychological Associates 1725 N University Dr, Coral Springs, FL 33071, USA",Linda Berlin Psy.D. & Psychological Associates,2.2,5,(954) 227-2700,http://berlinmentalhealth.com/,https://maps.google.com/?cid=3292827719747367956
Psychiatric hospital,36.72 Miles,39 mins,26.0903201,-80.145668,"Psychotherapeutic Juvenile Services 2600 SW 4th Ave, Fort Lauderdale, FL 33315, USA",Psychotherapeutic Juvenile Services,3,1,(954) 467-5943,Not available,https://maps.google.com/?cid=5342477304417150583
